Sample,Temp 1,Temp 2,Temp 3,Rate 1,Rate 2,Rate 3,Thick 1,Thick 2,Thick 3,Pressure
0,72.9,20.5,23.5,-0.0,0.0,-0.0,-0.002,0.0,-0.003,2.38e-06
1,73.4,20.5,23.6,-0.0,0.0,0.0,-0.002,0.0,-0.003,2.38e-06
2,73.9,20.5,23.6,-0.0,0.0,0.0,-0.002,0.0,-0.004,2.38e-06
3,74.4,20.5,23.7,-0.0,0.0,0.0,-0.002,0.0,-0.004,2.38e-06
4,74.9,20.5,23.7,-0.0,0.0,-0.0,-0.002,0.0,-0.004,2.38e-06
5,75.4,20.5,23.8,-0.0,0.0,-0.01,-0.002,0.0,-0.004,2.38e-06
6,75.9,20.5,23.9,-0.0,0.0,-0.01,-0.002,0.0,-0.004,2.38e-06
7,76.4,20.5,23.9,-0.0,0.0,0.01,-0.002,0.0,-0.004,2.38e-06
8,76.8,20.5,24.0,-0.0,0.0,0.01,-0.002,0.0,-0.004,2.39e-06
9,77.4,20.5,24.1,0.0,0.0,-0.0,-0.002,0.0,-0.004,2.39e-06
10,77.8,20.5,24.2,-0.0,0.0,0.01,-0.002,0.0,-0.004,2.39e-06
11,78.4,20.5,24.3,-0.0,0.0,-0.0,-0.002,0.0,-0.004,2.39e-06
12,78.8,20.5,24.4,-0.0,0.0,-0.0,-0.002,0.0,-0.004,2.39e-06
13,79.4,20.5,24.5,0.0,0.0,0.0,-0.002,0.0,-0.004,2.4e-06
14,79.8,20.5,24.6,-0.0,0.0,-0.0,-0.002,0.0,-0.004,2.4e-06
15,80.3,20.5,24.7,-0.0,0.0,-0.0,-0.002,0.0,-0.004,2.4e-06
16,80.8,20.5,24.8,-0.0,0.0,0.0,-0.002,0.0,-0.004,2.4e-06
17,81.3,20.5,25.0,-0.0,0.0,-0.0,-0.002,0.0,-0.004,2.41e-06
18,81.8,20.5,25.1,-0.0,0.0,0.01,-0.002,0.0,-0.004,2.41e-06
19,82.3,20.5,25.2,0.0,0.0,-0.0,-0.002,0.0,-0.004,2.41e-06
20,82.8,20.5,25.4,0.0,0.0,0.01,-0.002,0.0,-0.004,2.42e-06
21,83.3,20.5,25.5,-0.0,0.0,0.0,-0.002,0.0,-0.004,2.42e-06
22,83.8,20.5,25.7,-0.0,0.0,-0.0,-0.002,0.0,-0.004,2.42e-06
23,84.3,20.5,25.9,-0.0,0.0,-0.01,-0.002,0.0,-0.004,2.43e-06
24,84.8,20.5,26.0,-0.0,0.0,-0.0,-0.002,0.0,-0.004,2.43e-06
25,85.3,20.5,26.2,-0.0,0.0,-0.0,-0.002,0.0,-0.004,2.44e-06
26,85.8,20.5,26.4,-0.0,0.0,0.01,-0.002,0.0,-0.004,2.44e-06
27,86.3,20.5,26.6,0.0,0.0,-0.0,-0.002,0.0,-0.004,2.44e-06
28,86.8,20.5,26.8,-0.0,0.0,-0.0,-0.002,0.0,-0.004,2.45e-06
29,87.3,20.5,27.0,0.0,0.0,-0.0,-0.002,0.0,-0.004,2.45e-06
30,87.8,20.5,27.2,-0.0,0.0,0.01,-0.002,0.0,-0.004,2.45e-06
31,88.3,20.5,27.4,0.0,0.0,0.0,-0.002,0.0,-0.004,2.45e-06
32,88.8,20.5,27.6,0.0,0.0,0.0,-0.002,0.0,-0.004,2.46e-06
33,89.3,20.5,27.8,-0.0,0.0,0.01,-0.002,0.0,-0.004,2.46e-06
34,89.8,20.5,28.0,0.0,0.0,-0.01,-0.002,0.0,-0.004,2.46e-06
35,90.2,20.5,28.3,-0.0,0.0,-0.0,-0.002,0.0,-0.004,2.47e-06
36,90.7,20.5,28.5,-0.0,0.0,0.0,-0.002,0.0,-0.004,2.47e-06
37,91.2,20.5,28.8,-0.0,0.0,0.01,-0.002,0.0,-0.003,2.47e-06
38,91.7,20.4,29.0,-0.0,0.0,-0.0,-0.002,0.0,-0.003,2.47e-06
39,92.2,20.4,29.3,0.0,0.0,0.01,-0.002,0.0,-0.003,2.48e-06
40,92.7,20.4,29.6,0.0,0.0,0.0,-0.002,0.0,-0.003,2.48e-06
41,93.2,20.4,29.8,-0.0,0.0,0.0,-0.002,0.0,-0.003,2.48e-06
42,93.7,20.4,30.1,0.0,0.0,0.01,-0.002,0.0,-0.003,2.48e-06
43,94.2,20.4,30.4,0.0,0.0,0.01,-0.002,0.0,-0.003,2.48e-06
44,94.7,20.4,30.7,-0.0,0.0,0.01,-0.002,0.0,-0.003,2.49e-06
45,95.2,20.4,31.1,-0.0,0.0,0.01,-0.002,0.0,-0.003,2.49e-06
46,95.7,20.4,31.4,0.0,0.0,0.01,-0.002,0.0,-0.003,2.49e-06
