Sample,Temp 1,Temp 2,Temp 3,Rate 1,Rate 2,Rate 3,Thick 1,Thick 2,Thick 3,Pressure
0,20.4,20.5,137.9,0.0,0.0,0.0,-0.0,0.0,0.124,2.35e-06
1,20.4,20.5,137.7,0.0,0.0,0.01,-0.0,0.0,0.124,2.35e-06
2,20.4,20.5,137.4,0.0,0.0,0.02,-0.0,0.0,0.124,2.35e-06
3,20.4,20.5,137.1,0.0,0.0,-0.01,0.0,0.0,0.124,2.35e-06
4,20.4,20.5,136.8,0.0,0.0,0.01,0.0,0.0,0.124,2.35e-06
5,20.4,20.5,136.6,-0.0,0.0,0.02,0.0,0.0,0.124,2.35e-06
6,20.4,20.5,136.3,0.0,0.0,0.01,0.0,0.0,0.124,2.35e-06
7,20.4,20.5,136.1,0.0,0.0,0.01,0.0,0.0,0.124,2.35e-06
8,20.4,20.6,135.8,0.0,0.0,0.03,0.0,0.0,0.124,2.35e-06
9,20.4,20.5,135.5,0.0,0.0,0.02,0.0,0.0,0.124,2.35e-06
10,20.4,20.6,135.3,0.0,0.0,0.01,0.0,0.0,0.124,2.35e-06
11,20.4,20.6,135.0,0.0,0.0,0.01,0.0,0.0,0.125,2.35e-06
12,20.4,20.6,134.7,0.0,0.0,0.01,0.0,0.0,0.125,2.35e-06
13,20.4,20.6,134.4,0.0,0.0,-0.01,0.0,0.0,0.125,2.35e-06
14,20.4,20.6,134.2,0.0,0.0,0.02,0.0,0.0,0.125,2.35e-06
15,20.4,20.6,133.9,0.0,0.0,0.02,0.0,0.0,0.125,2.35e-06
16,20.4,20.6,133.6,0.0,0.0,0.01,0.0,0.0,0.125,2.35e-06
17,20.4,20.6,133.4,0.0,0.0,-0.0,0.0,0.0,0.125,2.35e-06
18,20.4,20.6,133.1,0.0,0.0,0.01,0.0,0.0,0.125,2.35e-06
19,20.4,20.6,132.8,0.0,0.0,0.01,0.0,0.0,0.125,2.35e-06
20,20.4,20.6,132.6,0.0,0.0,0.02,0.0,0.0,0.125,2.35e-06
21,20.4,20.6,132.3,0.0,0.0,0.02,0.0,0.0,0.125,2.35e-06
22,20.4,20.6,132.0,0.0,0.0,0.01,0.0,0.0,0.125,2.35e-06
23,20.4,20.6,131.8,0.0,0.0,0.0,0.0,0.0,0.125,2.35e-06
24,20.4,20.6,131.5,0.0,0.0,0.01,0.0,0.0,0.125,2.35e-06
25,20.4,20.6,131.2,0.0,0.0,0.0,0.0,0.0,0.125,2.35e-06
26,20.4,20.6,131.0,0.0,0.0,0.04,0.0,0.0,0.125,2.35e-06
27,20.4,20.6,130.7,0.0,0.0,0.01,0.0,0.0,0.125,2.35e-06
28,20.4,20.6,130.4,-0.0,0.0,0.0,0.0,0.0,0.125,2.35e-06
29,20.4,20.6,130.2,0.0,0.0,0.01,0.0,0.0,0.125,2.35e-06
30,20.4,20.6,129.9,0.01,0.0,0.02,0.0,0.0,0.125,2.35e-06
31,20.4,20.6,129.7,0.0,0.0,0.03,0.0,0.0,0.125,2.35e-06
32,20.4,20.6,129.4,0.0,0.0,0.0,0.0,0.0,0.125,2.35e-06
33,20.4,20.6,129.1,0.0,0.0,0.0,0.0,0.0,0.125,2.35e-06
34,20.4,20.6,128.9,0.0,0.0,0.02,0.0,0.0,0.125,2.35e-06
35,20.4,20.6,128.6,0.0,0.0,0.01,0.0,0.0,0.125,2.35e-06
36,20.4,20.6,128.4,0.0,0.0,0.01,0.0,0.0,0.125,2.35e-06
37,20.4,20.6,128.1,0.0,0.0,0.01,0.0,0.0,0.125,2.35e-06
38,20.4,20.6,127.9,0.0,0.0,0.02,0.0,0.0,0.125,2.35e-06
39,20.4,20.6,127.6,0.0,0.0,0.02,0.0,0.0,0.125,2.35e-06
40,20.4,20.6,127.4,0.0,0.0,-0.0,0.0,0.0,0.125,2.35e-06
41,20.4,20.6,127.1,0.0,0.0,0.02,0.0,0.0,0.125,2.35e-06
42,20.4,20.6,126.8,0.0,0.0,0.01,0.0,0.0,0.126,2.35e-06
43,20.4,20.6,126.6,0.0,0.0,0.01,0.0,0.0,0.126,2.35e-06
44,20.4,20.6,126.3,0.0,0.0,0.01,0.0,0.0,0.126,2.35e-06
45,20.4,20.6,126.1,0.0,0.0,0.01,0.0,0.0,0.126,2.35e-06
46,20.4,20.6,125.8,0.0,0.0,0.02,0.0,0.0,0.126,2.35e-06
47,20.5,20.6,125.5,0.0,0.0,0.01,0.0,0.0,0.126,2.35e-06
48,20.4,20.6,125.3,0.0,0.0,0.01,0.0,0.0,0.126,2.35e-06
49,20.4,20.6,125.0,-0.0,0.0,0.01,0.0,0.0,0.126,2.35e-06
50,20.4,20.6,124.7,0.0,0.0,0.0,0.0,0.0,0.126,2.35e-06
51,20.5,20.6,124.4,0.0,0.0,0.02,0.0,0.0,0.126,2.35e-06
52,20.5,20.6,124.2,0.0,0.0,0.01,0.0,0.0,0.126,2.35e-06
53,20.5,20.6,123.9,0.0,0.0,0.01,0.0,0.0,0.126,2.35e-06
54,20.5,20.6,123.7,0.0,0.0,0.01,0.0,0.0,0.126,2.35e-06
55,20.4,20.6,123.4,0.0,0.0,0.01,0.0,0.0,0.126,2.35e-06
56,20.5,20.6,123.1,0.0,0.0,0.01,0.0,0.0,0.126,2.35e-06
57,20.5,20.6,122.8,0.0,0.0,0.01,0.0,0.0,0.126,2.35e-06
58,20.5,20.6,122.6,0.0,0.0,0.02,0.0,0.0,0.126,2.35e-06
59,20.5,20.6,122.3,0.0,0.0,0.01,0.0,0.0,0.126,2.35e-06
60,20.5,20.6,122.1,0.0,0.0,0.0,0.0,0.0,0.126,2.35e-06
61,20.5,20.6,121.8,0.0,0.0,0.01,0.0,0.0,0.126,2.35e-06
62,20.5,20.6,121.6,0.0,0.0,0.01,0.0,0.0,0.126,2.35e-06
63,20.5,20.6,121.4,0.0,0.0,0.02,0.0,0.0,0.126,2.35e-06
64,20.5,20.6,121.1,0.0,0.0,0.02,0.0,0.0,0.126,2.35e-06
